arch,placement,cores,triad_gbps
gnr,sequential,41,224.2896
gnr,sequential,42,232.3936
gnr,sequential,43,236.9721
gnr,sequential,44,240.755
gnr,sequential,45,249.64970000000002
gnr,sequential,46,253.9686
gnr,sequential,47,258.0848
gnr,sequential,48,266.8653
gnr,sequential,49,268.885
gnr,sequential,50,275.5981
gnr,sequential,51,282.8535
gnr,sequential,52,288.9493
gnr,sequential,53,293.35
gnr,sequential,54,299.68870000000004
gnr,sequential,55,303.297
gnr,sequential,56,309.6614
gnr,sequential,57,313.6626
gnr,sequential,58,325.1615
gnr,sequential,59,326.77840000000003
gnr,sequential,60,336.899
gnr,sequential,61,342.628
gnr,sequential,62,347.9051
gnr,sequential,63,354.14140000000003
gnr,sequential,64,359.7667
gnr,sequential,65,364.6015
gnr,sequential,66,368.8962
gnr,sequential,67,374.4395
gnr,sequential,68,383.17220000000003
gnr,sequential,69,385.54240000000004
gnr,sequential,70,391.7102
gnr,sequential,71,402.1808
gnr,sequential,72,403.2292
gnr,sequential,73,411.3503
gnr,sequential,74,418.8072
gnr,sequential,75,421.1154
gnr,sequential,76,425.9092
gnr,sequential,77,436.334
gnr,sequential,78,436.8675
gnr,sequential,79,443.017
gnr,sequential,80,450.7072
gnr,sequential,81,455.7928
gnr,sequential,82,460.35040000000004
gnr,sequential,83,465.3413
gnr,sequential,84,473.7981
gnr,sequential,85,485.4307
gnr,sequential,86,486.408
gnr,sequential,87,490.9454
gnr,sequential,88,503.49629999999996
gnr,sequential,89,511.0224
gnr,sequential,90,518.0247
gnr,sequential,91,521.2927999999999
gnr,sequential,92,527.1973
gnr,sequential,93,534.8898
gnr,sequential,94,540.1403
gnr,sequential,95,547.9813
gnr,sequential,96,553.6382
gnr,round-robin,1,18.7985
gnr,round-robin,2,36.5599
gnr,round-robin,3,53.5027
gnr,round-robin,4,70.10719999999999
gnr,round-robin,5,87.8175
gnr,round-robin,6,105.55
gnr,round-robin,7,123.7494
gnr,round-robin,8,141.411
gnr,round-robin,9,158.4744
gnr,round-robin,10,175.7215
gnr,round-robin,11,194.0008
gnr,round-robin,12,212.53889999999998
gnr,round-robin,13,223.9846
gnr,round-robin,14,229.6813
gnr,round-robin,15,226.16129999999998
gnr,round-robin,16,226.93210000000002
gnr,round-robin,17,241.2817
gnr,round-robin,18,256.3581
gnr,round-robin,19,271.3558
gnr,round-robin,20,285.8625
gnr,round-robin,21,300.9402
gnr,round-robin,22,316.0858
gnr,round-robin,23,330.9996
gnr,round-robin,24,346.4937
gnr,round-robin,25,337.0289
gnr,round-robin,26,336.3362
gnr,round-robin,27,347.62379999999996
gnr,round-robin,28,370.0695
gnr,round-robin,29,383.00440000000003
gnr,round-robin,30,399.2312
gnr,round-robin,31,414.4417
gnr,round-robin,32,438.48359999999997
gnr,round-robin,33,452.6938
gnr,round-robin,34,465.90540000000004
gnr,round-robin,35,484.3
gnr,round-robin,36,501.20820000000003
gnr,round-robin,37,485.3192
gnr,round-robin,38,471.2106
gnr,round-robin,39,457.00809999999996
gnr,round-robin,40,446.54970000000003
gnr,round-robin,41,455.6291
gnr,round-robin,42,469.5968
gnr,round-robin,43,478.6345
gnr,round-robin,44,489.9119
gnr,round-robin,45,505.4325
gnr,round-robin,46,513.318
gnr,round-robin,47,526.6936999999999
gnr,round-robin,48,540.4395
gnr,round-robin,49,519.0527999999999
gnr,round-robin,50,506.18890000000005
gnr,round-robin,51,484.15209999999996
gnr,round-robin,52,470.119
gnr,round-robin,53,476.7455
gnr,round-robin,54,486.2495
gnr,round-robin,55,497.23909999999995
gnr,round-robin,56,513.9837
gnr,round-robin,57,515.3411
gnr,round-robin,58,533.2482
gnr,round-robin,59,534.9801
gnr,round-robin,60,552.18
gnr,round-robin,61,533.8992
gnr,round-robin,62,513.8483
gnr,round-robin,63,501.2875
gnr,round-robin,64,487.31440000000003
gnr,round-robin,65,486.492
gnr,round-robin,66,492.2697
gnr,round-robin,67,501.2478
gnr,round-robin,68,509.6057
gnr,round-robin,69,517.4963
gnr,round-robin,70,535.3188
gnr,round-robin,71,544.3244
gnr,round-robin,72,551.5677
gnr,round-robin,73,529.3646
gnr,round-robin,74,514.5467
gnr,round-robin,75,510.77540000000005
gnr,round-robin,76,493.35159999999996
gnr,round-robin,77,494.4382
gnr,round-robin,78,507.8915
gnr,round-robin,79,513.9004
gnr,round-robin,80,525.0476
gnr,round-robin,81,528.4823
gnr,round-robin,82,536.3601
gnr,round-robin,83,542.4155999999999
gnr,round-robin,84,552.8299000000001
gnr,round-robin,85,535.6465999999999
gnr,round-robin,86,523.7251
gnr,round-robin,87,515.6868
gnr,round-robin,88,502.489
gnr,round-robin,89,509.1249
gnr,round-robin,90,517.6336
gnr,round-robin,91,521.3357
gnr,round-robin,92,526.2785
gnr,round-robin,93,534.608
gnr,round-robin,94,540.5317
gnr,round-robin,95,548.5145
gnr,round-robin,96,552.132
